"Classe";"Texto"
"Contras";"aki na minha cidade tem muitas ruas com remendo entao é ruim pa andar em ruas assim.devia usar oleo mineral pois o sintetico é muito caro"
"Contras";"Quase os mesmos de um Fiesta, um Corsa, um Palio..."
"Contras";"SUSPENSÃO MUITO FRACA E PEÇAS DE REPOSIÇÃO MUITO CARAS PARA UM VEICULO TIDO COMO POPULAR."
"Contras";"suspensao meia dura,"
"Contras";"Barulhos na tampa do porta malas."
"Contras";"Custo de manutenção. Problemas crônicos conhecidos: chave de seta suspensão dura baixa óleo se bater na traseira o carro deverá ser remarcado pois a posição do chassi é afetada."
"Contras";"revenda, suspensão de plástico, direção hidraulica pesada, espaço do porta-malas, ruidos interno e externo, etc ."
"Contras";"A suspensão é muito ruim."
"Contras";"preço das peças e cambio"
"Contras";"Amortecedores frágeis ruído interno muito alto desvalorização e seguro muito alto."
"Contras";"A suspensão é horrível troquei TODA a suspensão do carro 2 vezes, o seguro é muito caro para o meu perfil 18-25 anos, e vive dando probleminhas em componentes como ar-condicionado, módulo de alarme e as peças são muuuuuito caras!"
"Contras";"Chave de seta já tem a fam a de dar problema, podendo gerar sustos em comunicação com os faróis sintomas semelhantes a maus contatos, dificuldade para encontrar peças. Não colocar na mão de qualquer um para manutenir."
"Contras";"Suspensão fraca para nossa ruas ruins e desvalorização acima dos demais."
"Contras";"Peças muito caras"
"Contras";"suspensão é fraca, ruidos internos"
"Contras";"Carro muito frágil. Tive que fazer a suspensão toda dele com menos de 40.000 e a direção também com cerca de 46.000. A Peugeot é uma piada! Fiz uma revisão que gastei R$ 930,00 e o carro saiu de lá pior do que entrou, gastando mais 5,8 km/l e com luzes queimadas. Quando opera em Álcool é difícil de pegar de manhã."
"Contras";"Suspensão fraca. Grande desvalorização. Difícil Revenda. Se você comprou abaixo da tabela não terá problemas na hora da venda. Peças só na concessionária. Custo Elevado."
"Contras";"porta malas pequeno, localizaçao do estepe,como o meu é 2 portas nao é bom para quem tem filho pequeno"
"Contras";"Revenda ruim, porta malas pequeno, mas essa não é a proposta do carro então não seria um ponto tão negativo. Agora uma coisa horrivel é a posição do pneu de estepe, cara debaixo do carro, vc se suja todo p trocar o pneu e pior ainda é p colocar de volta. nisso a empresa pecou mesmo."
"Contras";"Porta malas"
"Contras";"suspensão dianteira faz muito barulho....o porta malas é pequeno, o carro é bom pra quem viaja com pouca bagagem"
"Contras";"Só meio baixo na frente."
"Contras";"desvalorização, atendimento péssimo da autorizada peugeot Monet Campo Grande-MS,peças e manutenção muito caras."
"Contras";"SEGURO CARISSIMO, GRANDE DESVALORIZAÇAÕ NA HORA DE VENDER, COM O TEMPO VAI COMEÇANDO A APRESENTAR BARULHO INTERNO E PEÇAS A PESO DE OURO"
"Contras";"Muuuuiiito ruim de revenda, peças e manutenção caríssimas, a suspensão é uma manteiga e visibilidade baixa."
"Contras";"lataria, descasa mais facil que cebola, medida das rodas é dificil de encontrar 4/108, sendo q o padrão é 4 /100"
"Contras";"A suspenção do 206 não foi feita para andar em solos Brasileiros, o carro se torna duro em pisos irregulares, o ponto mais fraco deste carro eu digo que é a suspenção!"
"Contras";"Em minha opiniao, os pon tos negativos dele são: a suspensão mt frágil, o retrovisor mt pequeno o q dificulta a visibilidade e o barulhinho interno que aparece e some, sem conseguirmos identificar o q é afinal. ah, o local do estepe, dificulta a troca do pneu."
"Contras";"preço das peças."
"Contras";"Preços das peças sao muito altas Disponibilidade de peças nas autorizadas é muito pequeno, nunca tem a peça q vc precisaEspaço para passageiros do banco de tras estremamente pequeno.Porta mala pequenomas o pior mesmo é o estepe embaixo do carro, pra tirar eh facil, agora pra colocar, eh muito complicado e ainda temos q usar uma corrente pra prender o pneu se nao o mesmo eh roubado.é Um otimo carro pra quem tem dinheiro e pode pagar a sua manutenção, pq qnd começa a dar dor de cabeça, não sai da oficinaJunta da tampa de valvulas eh um problema cronico, vive vazando óleo, troca a cada de meses"
"Contras";"O carro é frágil e sensível, principalmente quando se trata de água, pois a tubulação do filtro de ar estende-se por trás do pára-choque dianteiro e vai até o pára-lamas do lado do motorista. Se você for enfrentar uma poça dágua, a água pode ser aspirada para dentro do motor, provocando calço hidráulico aconteceu comigo.Apesar de ser um carro de preço acessível, sua manutenção é bastante dispendiosa. O preço das peças na autorizada é um absurdo, e pasmem, nas auto-peças comuns, muitas vezes as peças são ainda mais caras. Portanto, antes de fazer algum serviço, recomendo uma boa pesquisa de preços, só assim é possível minimizar o prejuízo.O carro apresenta muitos ruídos internos painel e tampa do porta-malas e externos nas rodas dianteiras e o motor parece que estar soprando o tempo todo, como se tivesse um vazamento de ar."
"Contras";"Acho que, com certeza dos pontos negativos desse carro o que é mais considerado é o alto preço de manutenção e as peças, são caras demais.E é muito dificil axar onde de fato esta o defeito."
"Contras";"suspensao barulhenta, seta só isso"
"Contras";"o farol queima muita lampada, o porta malas pequeno"
"Contras";"Quando se faz um orçamento de peças para este carro, parece que você tem um Mercedes estacionado em sua garagem, principalmente na rede autorizada, os valores não condizem com o veículo. A desvalorização infelizmente é absurda.Marcha: Parece uma caixa de marcha seca, as trocas apesar de serem precisas são parecidas com as de um fiat 147 ou um Uno 80epoucos...Imagino eu que por ser um carro esportivo, a suspensão tende a ser um pouco mais rígida que o normal, mas isto causa certo desconforto.Mesmo sendo um modelo ``Rallye´´,estrada de terra nem pensar!! O carro muito baixo e pega em tudo que é lugar mesmo dentro da cidade. Não se engane pelo nome."
"Contras";"Peças da mecânica um pouco mais caras mais issu compensa pelo conforto apresentado. O q me encomoda muito é o barulho pra tudo q é lugar, odeio carro barulhento e o motor tbm é bastante ruidoso. Só to pensando em trocar ele por causa da escola de samba que tem na cabine desse carro. Tem um grilo na coluna lateral q num acho nem por reza e é insuportavel."
"Contras";"Muitos ruidos que nem a autorizada descobriu. O cambio faz barulho estranho e as vezes o engate nao é preciso."
"Contras";"O custo das peças e manutenção um pouco mais alta que os da mesma categoria, mas aceitável pelo conforto e outros pontos."
"Contras";"o ponto negativo e o volante que acaba rápido de mais com pouco tempo,o meu carro tem 48.000 km/h rodados e já tive que romprar outro volante"
"Contras";"o ruido do motor é o pior parece que ele esta dentro do carro. Peças muuuito caras. alto consumo."
"Contras";"Alto custo de manutenção."
"Contras";"As colunas do teto são muito largas causando Grandes pontos cegos no veiculo, necessitando maior cautela ao dirigir, tanto para entrar em um via qto em uma curva em bairros, pois pode esconder um pedestre ou um moto boy abusado. qto aos ruidos todos os carros tem alguns eu resolvo os do meu lavando e lubrificando com cilicone em spray plasticos e borrachas fica perfeito, e oleo spray em juntas e peças de atuação metalicas, acaba o problema. se o C4 palace pode vir com painel solto pq o 206 não pode fazer inhec inhec nas tampas de portas??? rs, qto a borrachas de portas, nada como instalar elas com silicone não entra nem poeira! rs e facil troca pois fixa!!! e não cola para sempre. para se arrumar uma peça tem que se desmontar outra encarescendo na mão de obra e aumentando no tempo de reparo e reposição de peças mecânicas de desgaste do cotidiano, parece carro de mecânica alemã que não foi feito pra fazer manutenção, tendo dificuldades até pra fazer a simples troca de oleo."
"Contras";"Durabilidade geral do carro: vendi o carro com 50.000km porque não agüentava mais as surpresas com quebras prematuras.O valor de manutenção e seguro são muuuuuuuuuito caros."
"Contras";"porta malas podia ser maior, alguns ruidos nas portas mais facil de resolver e alavanca que as vezes balança um pouco"
"Contras";"Suspensão dura, desvalorização na venda, peças caras, seguro caríssimo."
"Contras";"A suspensão da um pouco de dor de cabeça mas isso é mais do que normal, pq aqui no rj só a av das americas tem um bom asfalto o resto é só buraco, ne jipe aguenta. A partida a frio tb deixa a desejar."
"Contras";"Ruído do motor."
"Contras";"Suspensâo dura"
"Contras";"Pouca Retomada em ultrapassagens, suspenção muito dura, pouco espaço no pota malas e passageiros"
"Contras";"O meu não faz barulho só é uma escola de samba,paguei em homocinetica usada 600 reais, bobina 300 reais, dificuldade em encontrar peças,para vocês terem uma ideia aquele existem peças simples que custam 57 reais em um palio nesse aqui é 400 reais."
"Contras";"Infelizmente ainda existe um desvalorização no mercado, apesar de ter diminuido bastante ao londo dos anos."
"Contras";"CARRO MEGA SUPER ULTRA FRAGIL, CUIDADO! NAO ASSOPRE PERTO DO MEU PEUGEOT 206!!!!"
"Contras";"Ruídos internos tampão do porta-malas. Em dias de frio o carro demora um pouco até funcionar."
"Contras";"ruidos internos, preço das peças na concessionária, atendimento da concessionária, chave de seta com defeito na maioria dos carros fabricados, suspensão dura, borracha da porta tem emenda, o que pode provocar entrada de agua em ocasioes específicas."
"Contras";"CHAVE DE SETAS, COM UM ANO DE USO TIVE QUE TROCÁ-LA - DEFEITO CRÔNICO QUE DEVERIA SER OBJETO DE RECAL, PORÉM, O POVO BRASILEIRO É SOSSEGADO.A PEUGEOTO TIRA CARRO DE LINHA C/MUITA FACILIDADE E FAZ MAQUIAGEM, CASO DO 207 Q É UM 206 MAQUIADO. ACORDA PEUGEOT."
"Contras";"por meu carro ser mais velho, 2002, não posso exigir mto dele, e realmente é um carro pra asfalto, terra só as vezes, e por ter mtos opcionais apresenta mais defeitos, mas nada que não possa ser resolvido. se quer economia compre um nacional básico, pois até os nacionais com alguns acessórios dão problema, mta depreciação na venda."
"Contras";"BAIXA QUALIDADE NAS PEÇAS, INTERIOR E SUSPENSÃO BARULHENTA, EXTREMAMENTE FRÁGIL E COM ALTO CUSTO DE MANUTENÇÃO"
"Contras";"SE VOCE GANHA POUCO, OU NAO TEM CONDIÇÕES DE MANTER UM CARRO IMPORTADO NAO COMPRE, A MANUTENÇÃO DESDE A PREVENTIVA ATÉ A CORRETIVA NÃO É BARATO."
"Contras";"manutenção é salgada"
"Contras";"Peças com preço alto e de má qualidade, além de serem difíceis de encontrar, desvalorização acentuada na revenda, poucas concessionárias"
"Contras";"Nem a própria rede Peugeot se esforça para manter um nível de valorização de seus produtos. A desvalorização é acima da média por questões de mercado, reflexo direto do seu custo de manutenção mais elevado e nível de fragilidade de componentes importantes do veículo, tais como a suspensão traseira e a multiplexagem eletrônica da Peugeot, origem de defeitos quando não trabalha com acessórios elétricos apropriados. Resumindo: o carro é refinado, exige acessório original. É como uma placa mãe de computador de griffe, exige componente específico só para ele."
"Contras";"O carro é muito pequeno por dentro, ideal para 2 pessoas pois quem entrar atrás ou não entra ou não sai, porta malas muito pequeno, não é recomendado para familia"
"Contras";"este carro deixa muito a desejar em sua suspensão por ser muito dura, pois suas arrancadas exige muito de sua suspensão, por isso é muita folga e barulho."
"Contras";"O farol reflete os pingos de chuva acima dos para lamas do carro, em viagens longas voce tem que usar manga comprida, bate muito sol dentro do carro."
"Contras";"Suspensão traseira faz alguns estalos bem chatos em algumas manobras em baixa velocidade,o consumo é bem alto as borrachas das portas apresentam desgastes e rasgos, ao sair se não der uma boa acelerada o motor desliga dando um má impresão de mau condutor, reparei tbm que em velocidade de cruzeiro aproximadamente 85km/h em 5a marcha a rotação do motor é bem alta dando a impresão que o motor faz muito esforço para mater o carro andando."
"Contras";"Suspensão e barulho interno bate demais tudo imagino esses 206 com 20 anos de uso é uma escola de samba"
"Contras";"Porta Malas"
"Contras";"Ruídos internos, porém o carro tem 3 anos de uso."
"Contras";"A suspensão dianteira é muito elevada comparada á traseira, deixando o carro meio estranho de ladoManutenção cara se efetuada na autorizadaDifícil colocar rodas com aro maior que 16 por causa do cano do bocal de combustível, que é um pouco saliente e quase encosta no pneu traseiro direitoO apoio de braço das portas dianteiras parece feito de papelão, um dia me irritei com o trânsito e quebrei o do lado do motorista sem querer com o braço"
"Contras";"Caro pra caramba quando se fala em manutenção.Também tem um câmbio duro, porém confiável. Os amortecedores dele são muito sensíveis, assim como a parte de freios e escapamento. É um carro exclusivo do asfalto, não gosta de terra, nem foi feito pra ela."
"Contras";"Alguns ruídos internos, não muitos, manutenção cara, mas já encontro alternativas, a maçaneta do câmbio desintegrou, as novas são de couro, vem apenas uma chave do carro com alarme, sem segunda cópia."
"Contras";"Todos, carros bebe muito e não consegue descobrir o que é, fui apr praia grande e voltei o carro consumiu meio tanque, problemas na bobina, e a peugeot não tá nem ai, valor das peças um absurdo, caras demais,e só vendem nas concessionárias, deveriam ter lojas que pudessem vender mais baratas, até agora esse carro é ilusão total, repferia mil vezes meu golzinho 1.000 que tinha que andava mais do que esse...esse carro é um lixo"
"Contras";"na hora da reposicao de pecas:quando se encontra, levamos um susto c/ os precos das mesmas, quanto aos mecanicos, valorisam seus servicos,alem do normal. ferramental"
"Contras";"Não apresentou problemas, exceto o vidro elétrico que foi cortesia da concessionária. Um pouco de dor de cabeça para conseguir resolver o problema em função da falta de boa vontade do pessoal do atendimento. Enquanto você está comprando é tudo uma maravilha, mas se você volta para reclamar de algum defeito, existe uma má vontade."
"Contras";"o cambio da pancadas secas em cada troca de marcha,e o cambio fica se mexendo enquanto voce dirigi... ainda nessas versões mais novas isso ainda acontece,outro ponto é o step que fica do lado de fora já tive 1 step robado até aprender a colocar um cadeado. direção muito dura nas versões sem direção hidraulica. O consumo engana por que eu faço 11km/l na cidade, deveria ser mais economico mas se voce nao pisar o carro nao anda."
"Contras";"Manutenção um pouco mais cara que os concorrentesSuspensão duraEspaço interno é pequeno, bom somente para duas pessoas, qdo viajo geralmente uso os assentos traseiros alem do porta malas"
"Contras";"Suspensão dianteira melhorou, mas ainda possui o curso pequeno."
"Contras";"Tem altíssimo consumo de combustível no máximo 5 na cidade e 9 na estrada...com álcool...de chorar e na partida, numa subida, deixa a desejar e outros veículos o vêem pelo retrovisor."
"Contras";"A posição dos botões dos vidro elétricos é muito ruim, poderia ter iluminação no porta luvas, meu outro carro tinha, isto ajuda a achar as coisas a noite."
"Contras";"O motor 1.4L é uma vergonha. Tem um consumo maior do que meu Focus 2.0L e muuuuito menos potência do que um UNO! Se precisar dar socorro ou fugir de bandido, esqueça, pare logo e se entregue, porque o carro sofre para chegar a 140km/h e só vai passar disso vazio descendo ladeira todo fechado e sem ar ligado! Freios? Desista, pois se não fosse o pneu larguinho, ele não pararia. Passar a marcha do C3 todo dia dispensa academia - e a concessionária diz que é assim mesmo... TUDO eles dizem que é assim mesmo. Que é normal um 1.4 fazer 6km/L de GASOLINA, que é normal se arrastar pelas ruas, que é normal suar parar passar a marcha, tudo é normal e devemos nos acostumar a estar naquele lixo! E ganhei um brinde: na estrada, resolvi mudar a potência do ar e... CADÊ O BOTÃO? A peça laranja de trás do botão virou farinha, disseram que eu quebrei e precisei brigar e gritar 10 vezes na concessionária para colocarem uma nova. Colocaram, 5 MESES depois. Isso que por telefone nunca retornaram. GO FOX!"
"Contras";"O consumo esta um pouco alto, mas falaram que é por não ter amaciado ainda, esta com 8.200 km, o freio da impressão de meio mal dimensionado, talves pq no outro carro era muito sensível, tanquinho do álcool, bem pequeno 600 ml, no outro era de 1,5 l, mas como o álcool esta caro, não é problema no momento."
"Contras";"ENGASGOS e POS-VENDA CITROEN. A aquisição já começou negativa, o carro levou 2 meses pra chegar. Assim que chegou, abastecemos com gasolina conforme orientado e fomos passer no carro novo. Marcando uns 30km rodados, começou o problema: o carro começava a engasgar e perdia a potência imediatamente, até voltar à 1ª marcha. Levamos à cancessionária e disseram que era sujeira na gasolina e lego passaria. 2 meses depois, já esgotada a gasolina e abastecido com álcool, o problema passou a ser constante, toda vez que saía, decepcionava. Deixando na manutenção por 3 dias, informaram que agora o carro estava perfeito. Andei 5km e o carro engasgou e perdeu a potência denovo e continuou assim o tempo todo. A concecionária não reconheceu que havia problema no carro e dizia que ele era assim mesmo."
"Contras";"Posição dos vidros elétricos"
"Contras";"O consumo um pouco alto, mas deve ser por estar amaciando"
"Contras";"Freio mal dimensionado para o carro, vamos ver se melhora."
"Contras";"Suspensao muito fraca sem falar na caixa de direçao que bate muito e nao tem peças para repara-la. É muito problemática e a montadora nao esta nem um pouco preocupado em resolver esse grande defeito - digo, é o maior defeito do carro e da fabrica é nao querer resolver."
"Contras";"Frente muito baixa, consumo desapontador, baixa estabilidade depois dos 120 km/h, acabamento vagabundo, péssima localização dos controles dos vidros elétricos etc..."
"Contras";"ponto cego no carro por conta de ser arrendondado na frente e atrás, consumo altíssimo para motor 1.4, na subida ele grita e anda menos do que um popular 1.0, na retomada de velocidade ele não é confiável"
"Contras";"É o que a maioria comenta, a posiçao dos vidros elétricos, mas ja me acostumei com isto, porque as outras vantagens compensam."
"Contras";"Posição do conrole dos vidros elétricos é péssima, o aparelho de cd original não funciona para gravações em mp3, pouco espaço para os passageiros do banco traseiro."
"Contras";"Apresenta um consumo alto para um carro com motor 1.4, sendo que esse consumo não se reverte em desempenho que fica apenas um pouco melhor do que os carros populares 1.0, a retomada de velocidade também é lenta.A posição dos controles dos vidros elétricos é péssima e de difícil acesso.O encaixe das marchas também não é dos melhores."
"Contras";"Acabamento interno tem que melhorar, mas é bom. A suspensão direita, antes do modelo 2009 fazem barulhos pelo curto curso do amortecedor. Ruídos internos incomodam aos 120.000 km. Posição dos acionamentos dos vidros tem que mudar. Concessionárias incapacitadas, infelizmente."
"Contras";"Confesso que estou assustada com o consumo esperava mas economia por ser 1.4. Não aprovei o lugar para a abertura dos vidros, achei muito desconforto. Outra coisa que observei também e que entra sujeiras na soleira das portas."
"Contras";"Barulho na suspensão, Gasta muito por ser 1.4"
"Contras";"Consumo alto, quem vai atrás vai num aperto só, os joelhos a todo tempo encostando nos bancos dianteiros. E a frente do carro devido a suspençao, ser mole raspa e muito no chao..."
"Contras";"Se passar devagar numa curva de estrada irregular ele balança muito, parece um barquinho. Se soltar a embreagem rápido, as vezes apaga o motor. Bate a frente no chão com facilidade devido a suspenção ser mole demais ao subir na calçada. Se andar muito e bater em buracos no asfalto, começa a aparecer barulho na suspensão."
"Contras";"Não há especificação no site nesta versão Sonora GLX sobre entrada USB, iPod e bluetooth no rádio pionner para Citroen e o modelo do aro de 15. Então ao chegar na concessionária é uma surpresa."
"Contras";"Consumo. Suspensão terrível. Alto consumo. Pastilhas de freios descartáveis. Bóia do tanque com problema de engenharia. Problemas de engenharia na caixa de câmbio. Concessionárias do norte do paraná desonestas. Faróis descartáveis. desvalorização absurda e com motivos. terrível para revenda."
"Contras";"acabamento das partes plásticas muitas rebarbas, barulhento."
"Contras";"o botão dos vidros é mal posicionado. porta malas pequeno. o ar cond, poderia ser digital."
